
Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Strong Wolfe Conditions
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     3.433535e+00   1.655422e+00   
  1     2.375782e+00   2.027727e+00   1.623909e-02   7         2         6         0         
  2     2.310329e+00   2.024932e+00   2.861373e-03   8         3         1         0         
  3     2.662820e-01   1.742627e+00   2.201375e-01   9         4         1         0         
  4     1.308738e-01   1.870050e+00   4.241241e-02   10        5         1         0         
  5     1.252333e-01   1.909909e-01   7.205267e-03   11        6         1         0         
  6     1.252190e-01   4.504480e-02   4.143184e-04   12        7         1         0         
  7     1.252174e-01   4.521918e-02   3.951198e-05   13        8         1         0         
  8     1.251059e-01   2.799428e-01   3.381418e-03   14        9         1         0         
  9     1.249174e-01   6.162293e-01   6.761960e-03   15        10        1         0         
  10    1.243651e-01   1.084232e+00   2.249391e-02   16        11        1         0         
  11    1.238068e-01   1.712851e+00   4.021051e-02   17        12        1         0         
  12    1.225992e-01   1.296182e+00   4.489966e-03   18        13        1         0         
  13    1.209687e-01   1.843631e+00   8.145616e-02   19        14        1         0         
  14    1.197111e-01   1.191419e+00   3.048102e-02   20        15        1         0         
  15    1.185068e-01   5.078713e-01   1.929718e-02   21        16        1         0         
  16    1.179721e-01   1.496166e+00   1.923211e-02   23        17        2         0         
  17    1.173974e-01   1.744655e+00   1.867573e-02   24        18        1         0         
  18    1.160972e-01   1.780748e+00   2.755746e-02   25        19        1         0         
  19    1.142267e-01   1.281430e+00   2.713538e-02   26        20        1         0         
  20    1.132357e-01   1.693327e+00   2.867675e-02   28        21        2         0         
  21    1.111045e-01   1.818417e+00   6.069223e-02   29        22        1         0         
  22    1.089027e-01   1.132991e+00   1.451254e-02   30        23        1         0         
  23    1.069847e-01   1.808941e+00   5.871529e-02   31        24        1         0         
  24    1.059147e-01   1.217459e+00   3.474299e-03   32        25        1         0         
  25    1.039349e-01   1.705523e+00   5.208424e-02   33        26        1         0         
  26    1.023106e-01   1.660373e+00   2.987394e-02   34        27        1         0         
  27    9.891788e-02   4.546662e-01   4.972043e-02   35        28        1         0         
  28    9.770553e-02   1.386412e+00   2.890827e-02   37        29        2         0         
  29    9.691324e-02   1.784038e+00   2.830510e-02   39        30        2         0         
  30    9.535516e-02   1.780386e+00   2.971424e-02   40        31        1         0         
  31    9.207080e-02   1.168336e+00   4.635742e-02   41        32        1         0         
  32    9.143430e-02   1.430755e+00   1.663165e-02   43        33        2         0         
  33    9.001319e-02   1.750714e+00   3.594693e-02   45        34        2         0         
  34    8.807763e-02   1.764579e+00   5.732674e-02   46        35        1         0         
  35    8.495761e-02   1.108532e+00   2.805289e-02   47        36        1         0         
  36    8.340448e-02   1.606300e+00   3.863139e-02   49        37        2         0         
  37    8.232103e-02   1.756553e+00   3.309594e-02   51        38        2         0         
  38    8.003327e-02   1.754136e+00   4.528206e-02   52        39        1         0         
  39    7.672372e-02   1.176678e+00   5.128494e-02   53        40        1         0         
  40    7.595241e-02   1.546274e+00   2.152556e-02   55        41        2         0         
  41    7.429154e-02   1.749196e+00   4.108539e-02   57        42        2         0         
  42    7.188989e-02   1.749379e+00   5.958210e-02   58        43        1         0         
  43    7.014367e-02   1.117901e+00   2.303476e-02   59        44        1         0         
  44    6.827091e-02   1.752025e+00   8.961127e-02   60        45        1         0         
  45    6.669342e-02   3.711822e-01   3.063053e-02   61        46        1         0         
  46    6.504911e-02   1.244272e+00   3.753438e-02   62        47        1         0         
  47    6.435328e-02   1.473572e+00   1.893078e-02   64        48        2         0         
  48    6.312624e-02   1.753203e+00   4.052402e-02   66        49        2         0         
  49    6.179621e-02   1.756622e+00   5.031296e-02   67        50        1         0         
  50    5.934955e-02   1.737984e+00   3.438324e-02   68        51        1         0         
  51    5.700278e-02   1.768891e+00   8.555374e-02   69        52        1         0         
  52    5.333082e-02   8.642767e-01   3.943043e-02   70        53        1         0         
  53    5.231271e-02   4.156678e-01   2.672348e-02   72        54        2         0         
  54    5.228070e-02   7.201397e-01   2.155611e-04   76        55        4         0         
  55    5.227685e-02   4.902325e-01   5.624641e-05   80        56        4         0         
  56    5.227298e-02   7.190566e-01   1.526326e-04   84        57        4         0         
  57    5.226912e-02   4.889939e-01   5.625533e-05   88        58        4         0         
  58    5.226525e-02   7.181395e-01   1.531808e-04   92        59        4         0         
  59    5.226139e-02   4.879305e-01   5.626224e-05   96        60        4         0         
  60    5.225758e-02   7.151171e-01   1.513975e-04   100       61        4         0         
  61    5.225378e-02   4.867930e-01   5.605235e-05   104       62        4         0         
  62    5.224997e-02   7.141532e-01   1.517834e-04   108       63        4         0         
  63    5.224623e-02   4.877128e-01   5.587250e-05   112       64        4         0         
  64    5.224254e-02   7.116341e-01   1.502335e-04   116       65        4         0         
  65    5.223882e-02   4.857536e-01   5.579246e-05   120       66        4         0         
  66    5.223562e-02   6.936581e-01   1.323027e-04   124       67        4         0         
  67    5.223244e-02   4.858692e-01   5.437040e-05   128       68        4         0         
  68    5.222924e-02   6.938298e-01   1.328954e-04   132       69        4         0         
  69    5.222604e-02   4.855141e-01   5.437761e-05   136       70        4         0         
  70    5.222282e-02   6.942728e-01   1.338012e-04   140       71        4         0         
  71    5.221978e-02   4.911121e-01   5.392834e-05   144       72        4         0         
  72    5.221708e-02   6.827553e-01   1.207863e-04   148       73        4         0         
  73    5.221438e-02   4.919729e-01   5.350419e-05   152       74        4         0         
  74    5.221039e-02   9.489592e-01   4.217276e-04   155       75        3         0         
  75    5.204890e-02   7.266482e-01   2.923795e-03   156       76        1         0         
  76    5.152505e-02   3.137561e-01   1.056524e-02   158       77        2         0         
  77    5.138651e-02   1.127469e+00   6.725352e-03   160       78        2         0         
  78    5.070736e-02   1.120634e+00   1.491356e-02   162       79        2         0         
  79    4.942183e-02   3.965757e-01   3.234174e-02   164       80        2         0         
  80    4.864867e-02   8.068302e-01   2.404854e-02   166       81        2         0         
  81    4.864411e-02   5.645764e-01   5.061696e-05   170       82        4         0         
  82    4.864397e-02   6.050586e-01   9.382277e-06   174       83        4         0         
  83    4.864381e-02   5.633831e-01   8.937536e-06   178       84        4         0         
  84    4.864367e-02   6.034951e-01   9.285932e-06   182       85        4         0         
  85    4.864352e-02   5.620001e-01   8.891140e-06   186       86        4         0         
  86    4.864337e-02   6.019115e-01   9.229813e-06   190       87        4         0         
  87    4.864322e-02   5.601592e-01   8.933105e-06   194       88        4         0         
  88    4.864308e-02   6.000172e-01   9.206617e-06   198       89        4         0         
  89    4.864292e-02   5.581545e-01   8.943103e-06   202       90        4         0         
  90    4.864278e-02   5.982391e-01   9.250533e-06   206       91        4         0         
  91    4.864261e-02   5.556813e-01   9.071577e-06   210       92        4         0         
  92    4.864247e-02   5.960348e-01   9.301766e-06   214       93        4         0         
  93    4.864230e-02   5.522431e-01   9.304145e-06   218       94        4         0         
  94    4.864215e-02   5.926507e-01   9.294908e-06   222       95        4         0         
  95    4.864202e-02   5.545930e-01   8.128226e-06   226       96        4         0         
  96    4.864188e-02   5.931217e-01   8.856913e-06   230       97        4         0         
  97    4.864173e-02   5.514714e-01   8.857437e-06   234       98        4         0         
  98    4.864159e-02   5.898713e-01   8.808742e-06   238       99        4         0         
  99    4.864139e-02   5.422731e-01   1.001668e-05   241       100       3         0         
  100   4.864116e-02   5.914053e-01   1.136407e-05   245       101       4         0         
  101   4.860146e-02   5.224129e-01   1.084698e-04   246       102       1         0         
  102   4.833492e-02   8.449603e-03   1.571699e-03   247       103       1         0         
  103   4.833491e-02   2.891230e-03   9.338984e-06   248       104       1         0         
  104   4.833491e-02   8.107504e-05   6.045257e-07   249       105       1         0         
  105   4.833491e-02   1.431791e-06   2.985894e-08   250       106       1         0         
  106   4.833491e-02   2.367663e-08   1.768291e-10   251       107       1         0         
  107   4.833491e-02   4.022919e-10   8.058391e-12   252       108       1         0         
Optimization Terminated with Status: Converged
body: Y = 344.4691532158016
body: S = 476.2100007319287
body: D = 6
