Point ID,Points_0,Points_1,Points_2,Points_Magnitude,u_0,u_1,u_2,u_Magnitude
0,0.42,0,0,0.42,0,0,0,0
1,0.42,1.9974e-12,0,0.42,4.38263e-16,3.31123e-15,0,3.34011e-15
2,0.42,0.0170677,0,0.420347,2.21944e-06,2.81642e-05,0,2.82516e-05
3,0.42,0.0354198,0,0.421491,4.97978e-06,6.03026e-05,0,6.05079e-05
4,0.42,0.0363206,0,0.421568,5.19209e-06,6.18815e-05,0,6.20989e-05
5,0.42,0.0367729,0,0.421607,5.38803e-06,6.29047e-05,0,6.3135e-05
6,0.42,0.0411943,0,0.422015,7.22087e-06,7.43376e-05,0,7.46875e-05
7,0.42,0.0550203,0,0.423589,1.25701e-05,0.000109464,0,0.000110183
8,0.42,0.0569804,0,0.423848,1.37614e-05,0.000117478,0,0.000118281
9,0.42,0.0725956,0,0.426228,3.41515e-05,0.000193768,0,0.000196755
10,0.42,0.0820987,0,0.427949,4.64976e-05,0.000262918,0,0.000266998
11,0.42,0.0901964,0,0.429576,6.33742e-05,0.000326592,0,0.000332684
12,0.42,0.107369,0,0.433507,9.57093e-05,0.000515648,0,0.000524456
13,0.42,0.107814,0,0.433617,9.69355e-05,0.000520724,0,0.00052967
14,0.42,0.108843,0,0.433874,9.93081e-05,0.000535739,0,0.000544865
15,0.42,0.125477,0,0.438343,0.00013295,0.000779362,0,0.00079062
16,0.42,0.132668,0,0.440455,0.000143607,0.000908221,0,0.000919505
17,0.42,0.143057,0,0.443695,0.000165531,0.00109133,0,0.00110382
18,0.42,0.157911,0,0.448705,0.000187392,0.00139602,0,0.00140854
19,0.42,0.160671,0,0.449684,0.000192334,0.0014506,0,0.0014633
20,0.42,0.166918,0,0.451953,0.000198419,0.00159005,0,0.00160239
21,0.42,0.178249,0,0.45626,0.000207033,0.00184649,0,0.00185806
22,0.42,0.183231,0,0.458229,0.000206376,0.00197255,0,0.00198332
23,0.42,0.195887,0,0.463435,0.000203723,0.00227558,0,0.00228469
24,0.42,0.208628,0,0.468962,0.000185457,0.0026146,0,0.00262117
25,0.42,0.213537,0,0.471167,0.000177105,0.00273689,0,0.00274262
26,0.42,0.224725,0,0.476342,0.000140019,0.00304707,0,0.00305029
27,0.42,0.231178,0,0.47942,0.000117918,0.00322868,0,0.00323084
28,0.42,0.234008,0,0.480791,0.000102504,0.00331777,0,0.00331935
29,0.42,0.248814,0,0.488168,1.65085e-05,0.00375226,0,0.00375229
30,0.42,0.259388,0,0.493642,-7.20152e-05,0.00410128,0,0.00410191
31,0.42,0.266441,0,0.497384,-0.00013317,0.0043177,0,0.00431976
32,0.42,0.282498,0,0.506167,-0.00032291,0.0048737,0,0.00488439
33,0.42,0.28406,0,0.50704,-0.000341524,0.00492859,0,0.0049404
34,0.42,0.284746,0,0.507425,-0.000352366,0.00495578,0,0.0049683
35,0.42,0.301669,0,0.517111,-0.00062175,0.00558174,0,0.00561626
36,0.42,0.310068,0,0.522056,-0.000794196,0.00593105,0,0.00598399
37,0.42,0.319274,0,0.527576,-0.000982481,0.00628947,0,0.00636574
38,0.42,0.335371,0,0.53747,-0.00139757,0.00699203,0,0.00713034
39,0.42,0.336864,0,0.538403,-0.0014356,0.00705341,0,0.00719803
40,0.42,0.340255,0,0.540531,-0.00154217,0.00720935,0,0.00737245
41,0.42,0.354448,0,0.549576,-0.00199185,0.00787276,0,0.00812083
42,0.42,0.360724,0,0.553644,-0.00223213,0.00819766,0,0.00849612
43,0.42,0.372021,0,0.56107,-0.00265647,0.00875676,0,0.00915083
44,0.42,0.386074,0,0.570485,-0.00327949,0.00952388,0,0.0100727
45,0.42,0.389569,0,0.572856,-0.00343102,0.00970812,0,0.0102966
46,0.42,0.397491,0,0.578273,-0.0038276,0.0101662,0,0.0108629
47,0.42,0.407135,0,0.584944,-0.00431384,0.0107302,0,0.0115649
48,0.42,0.411383,0,0.587908,-0.00455521,0.0109982,0,0.0119042
49,0.42,0.424736,0,0.597328,-0.00529974,0.0118238,0,0.0129572
50,0.42,0.436683,0,0.605881,-0.00603612,0.0126123,0,0.0139823
51,0.42,0.442356,0,0.609982,-0.00638007,0.0129815,0,0.0144646
52,0.42,0.45553,0,0.619602,-0.00724697,0.0138855,0,0.0156629
53,0.42,0.459908,0,0.622828,-0.00753597,0.0141877,0,0.0160649
54,0.42,0.461651,0,0.624116,-0.00765782,0.0143117,0,0.0162317
55,0.42,0.478999,0,0.637056,-0.00886172,0.0155423,0,0.0178911
56,0.42,0.5,0,0.652993,-0.0103837,0.0170636,0,0.0199747
57,0.42,0.484418,0,0.64114,-0.00925313,0.0159353,0,0.018427
58,0.42,0.51586,0,0.665216,-0.0115495,0.0182108,0,0.0215644
59,0.42,0.517864,0,0.666771,-0.0116976,0.0183545,0,0.0217651
60,0.42,0.529945,0,0.676197,-0.0125872,0.0192196,0,0.0229746
61,0.42,0.53742,0,0.682071,-0.0131285,0.019738,0,0.0237054
62,0.42,0.546674,0,0.689386,-0.0138034,0.0203903,0,0.0246231
63,0.42,0.562379,0,0.701905,-0.0149099,0.0214427,0,0.0261169
64,0.42,0.564185,0,0.703353,-0.0150386,0.021566,0,0.0262917
65,0.42,0.568283,0,0.706644,-0.0153155,0.0218275,0,0.0266646
66,0.42,0.581786,0,0.717548,-0.0162218,0.0226872,0,0.0278901
67,0.42,0.587735,0,0.72238,-0.0165922,0.0230339,0,0.0283877
68,0.42,0.599395,0,0.731897,-0.0173298,0.0237313,0,0.0293853
69,0.42,0.613088,0,0.743154,-0.0181183,0.0244692,0,0.030447
70,0.42,0.616999,0,0.746383,-0.0183474,0.0246863,0,0.0307578
71,0.42,0.625887,0,0.753747,-0.0188121,0.0251247,0,0.031387
72,0.42,0.634603,0,0.761,-0.019265,0.0255531,0,0.0320016
73,0.42,0.638435,0,0.764199,-0.0194398,0.0257178,0,0.0322383
74,0.42,0.652184,0,0.775722,-0.0200758,0.0263325,0,0.0331125
75,0.42,0.663712,0,0.785438,-0.0205359,0.0267811,0,0.0337483
76,0.42,0.669719,0,0.790521,-0.0207772,0.0270265,0,0.03409
77,0.42,0.683517,0,0.802244,-0.0212471,0.02752,0,0.0347676
78,0.42,0.687291,0,0.805462,-0.0213757,0.0276545,0,0.0349527
79,0.42,0.688934,0,0.806864,-0.0214231,0.0277062,0,0.0350226
80,0.42,0.704858,0,0.820503,-0.0218731,0.0282426,0,0.0357222
81,0.42,0.714132,0,0.828484,-0.0220922,0.028526,0,0.0360805
82,0.42,0.722438,0,0.835653,-0.022279,0.0288002,0,0.0364116
83,0.42,0.739414,0,0.850372,-0.0225926,0.0293224,0,0.0370166
84,0.42,0.740022,0,0.850901,-0.0226028,0.0293428,0,0.037039
85,0.42,0.741313,0,0.852024,-0.0226204,0.0293838,0,0.0370822
86,0.42,0.756511,0,0.86528,-0.0228331,0.0298694,0,0.037597
87,0.42,0.763153,0,0.871093,-0.0229094,0.0300747,0,0.0378064
88,0.42,0.773709,0,0.880355,-0.0230088,0.0304288,0,0.0381486
89,0.42,0.787025,0,0.892081,-0.0231062,0.0308652,0,0.0385559
90,0.42,0.791204,0,0.89577,-0.0231275,0.0310133,0,0.0386873
91,0.42,0.801369,0,0.904761,-0.0231616,0.0313684,0,0.0389928
92,0.42,0.808824,0,0.911371,-0.0231895,0.0316308,0,0.0392207
93,0.42,0.812038,0,0.914224,-0.0231971,0.0317434,0,0.039316
94,0.42,0.826491,0,0.927086,-0.023199,0.0322859,0,0.0397564
95,0.42,0.837448,0,0.936867,-0.0231907,0.0326958,0,0.0400852
96,0.42,0.844166,0,0.942877,-0.0231706,0.0329635,0,0.0402923
97,0.42,0.859493,0,0.956624,-0.0231193,0.0335726,0,0.040763
98,0.42,0.861812,0,0.958707,-0.0231121,0.0336653,0,0.0408353
99,0.42,0.862825,0,0.959618,-0.023109,0.0337059,0,0.040867
100,0.42,0.879454,0,0.974597,-0.0230246,0.0344079,0,0.041401
101,0.42,0.888231,0,0.982524,-0.0229846,0.0347786,0,0.0416874
102,0.42,0.897104,0,0.990554,-0.0229282,0.0351711,0,0.0419847
103,0.42,0.913612,0,1.00553,-0.0228398,0.0359015,0,0.0425509
104,0.42,0.91476,0,1.00657,-0.0228318,0.0359544,0,0.0425912
105,0.42,0.917361,0,1.00894,-0.0228176,0.036074,0,0.0426847
106,0.42,0.932375,0,1.02261,-0.0227347,0.0367664,0,0.0432277
107,0.42,0.938952,0,1.02861,-0.0227084,0.0370693,0,0.0434719
108,0.42,0.949535,0,1.03828,-0.0226543,0.0375732,0,0.0438744
109,0.42,0.964969,0,1.05241,-0.022601,0.0383068,0,0.0444772
110,0.42,0.966343,0,1.05367,-0.0225953,0.0383736,0,0.0445318
