Point ID,Points_0,Points_1,Points_2,Points_Magnitude,p,u_0,u_1,u_2,u_Magnitude
0,0,1e-09,1e-09,1.41421e-09,-127.786,1.55506e-12,2.21762e-12,-3.141e-13,2.72667e-12
1,0.014641,0.014641,1e-09,0.0207055,-99.5816,1.87911e-05,1.98531e-05,-2.74106e-13,2.73359e-05
2,0,0.02,1e-09,0.02,-95.8181,3.13695e-05,4.17695e-05,-2.74106e-13,5.22373e-05
3,0.02,0,1e-09,0.02,-103.51,-2.82954e-48,0,-2.70643e-13,2.70643e-13
4,0.0307736,0.0168739,1e-09,0.0350962,-87.3525,2.00831e-05,1.70749e-05,-5.10224e-13,2.63606e-05
5,0.0184232,0.0324982,1e-09,0.037357,-76.9311,4.2335e-05,3.79055e-05,-5.10224e-13,5.6825e-05
6,0.0401505,0.0340121,1e-09,0.0526202,-73.9301,4.05092e-05,3.07219e-05,-5.10224e-13,5.08412e-05
7,0.0501289,0.0170587,1e-09,0.0529519,-79.1561,1.94517e-05,1.43296e-05,-5.10224e-13,2.416e-05
8,0,0.04,1e-09,0.04,-69.3437,5.73591e-05,6.17953e-05,-3.28858e-13,8.43133e-05
9,0.013107,0.050956,1e-09,0.0526147,-60.6921,6.55105e-05,5.78066e-05,-3.28858e-13,8.73683e-05
10,0.04,0,1e-09,0.04,-86.9177,4.51892e-48,6.14811e-72,-3.18802e-13,3.18802e-13
11,0.03,0.0519603,1e-09,0.0599989,-61.6336,6.29696e-05,4.94802e-05,-3.58878e-13,8.00841e-05
12,0.0385359,0.0683938,1e-09,0.0785031,-53.4021,7.88022e-05,5.86326e-05,-3.58878e-13,9.82221e-05
13,0.0495283,0.0494789,1e-09,0.0700087,-65.3706,5.71455e-05,4.14104e-05,-3.58878e-13,7.05722e-05
14,0.0619528,0.0337981,1e-09,0.0705723,-72.9603,3.83368e-05,2.7172e-05,-3.58878e-13,4.69896e-05
15,0.0295596,0.0881109,1e-09,0.092937,-41.0506,9.87484e-05,7.53466e-05,-3.44888e-13,0.000124211
16,0.0171117,0.0703218,1e-09,0.0723738,-46.605,8.46327e-05,6.98362e-05,-3.44888e-13,0.000109726
17,0.06,0,1e-09,0.06,-79.2558,0,7.37768e-55,-3.5458e-13,3.5458e-13
18,0,0.06,1e-09,0.06,-50.932,7.87965e-05,7.6138e-05,-2.51427e-13,0.000109571
19,0.0565407,0.0659665,1e-09,0.0868817,-59.3382,7.37557e-05,5.34022e-05,-3.40799e-13,9.10588e-05
20,0.0480031,0.0851057,1e-09,0.0977102,-48.763,9.31584e-05,6.8641e-05,-3.40799e-13,0.000115715
21,0.0672252,0.0806044,1e-09,0.104959,-57.1345,8.64389e-05,6.36885e-05,-3.40799e-13,0.000107368
22,0.0647543,0.0493608,1e-09,0.0814224,-67.087,5.55013e-05,3.96738e-05,-4.02584e-13,6.82232e-05
23,0.0731507,0.0615137,1e-09,0.095577,-64.4329,6.74642e-05,4.89108e-05,-4.02584e-13,8.33288e-05
24,0.0783355,0.0437053,1e-09,0.0897029,-70.6184,4.84604e-05,3.46508e-05,-3.59561e-13,5.95742e-05
25,0.097404,0.0353435,1e-09,0.103618,-74.7264,3.88398e-05,2.8736e-05,-3.59561e-13,4.83145e-05
26,0.0798573,0.0281821,1e-09,0.0846843,-74.1429,3.14736e-05,2.24004e-05,-3.59561e-13,3.86312e-05
27,0,0.08,1e-09,0.08,-38.3012,9.73861e-05,8.84543e-05,-2.23205e-13,0.000131561
28,0.0128139,0.0895993,1e-09,0.0905109,-36.0612,0.000102696,8.40344e-05,-2.23205e-13,0.000132696
29,0.0417839,0.103847,1e-09,0.111938,-39.5342,0.000108839,8.15853e-05,-4.31785e-13,0.000136023
30,0.07,0.0161961,1e-09,0.0718492,-76.0643,1.82136e-05,1.28545e-05,-4.03075e-13,2.22929e-05
31,0.0895673,0.0159517,1e-09,0.0909767,-75.9683,1.7856e-05,1.2746e-05,-4.03075e-13,2.19385e-05
32,0.08,0,1e-09,0.08,-76.3807,1.67236e-48,0,-4.03395e-13,4.03395e-13
33,0.0613014,0.099697,1e-09,0.117036,-48.8722,0.000102957,7.68461e-05,-3.35135e-13,0.000128474
34,0.0556685,0.118733,1e-09,0.131135,-40.6595,0.000117051,8.90864e-05,-3.35135e-13,0.000147097
35,0.0361743,0.122694,1e-09,0.127916,-31.5125,0.000122008,9.21825e-05,-3.35135e-13,0.000152917
36,0.0749379,0.114301,1e-09,0.136676,-51.0415,0.000111579,8.79859e-05,-2.54824e-13,0.000142097
37,0.0807974,0.0952799,1e-09,0.124926,-57.8516,9.69426e-05,7.52687e-05,-2.54824e-13,0.000122732
38,0.094368,0.109953,1e-09,0.144896,-59.7143,0.000105877,8.89055e-05,-2.54824e-13,0.000138254
39,0.0867214,0.0761901,1e-09,0.115436,-64.1828,7.99652e-05,6.11713e-05,-4.89692e-13,0.000100679
40,0.0926382,0.057105,1e-09,0.108825,-69.9744,6.14105e-05,4.62503e-05,-4.89692e-13,7.68787e-05
41,0.112045,0.0528006,1e-09,0.123863,-75.3895,5.59122e-05,4.47377e-05,-4.25268e-13,7.16075e-05
42,0.119694,0.0337976,1e-09,0.124374,-79.1384,3.65e-05,2.91439e-05,-4.25268e-13,4.67078e-05
