Point ID,Points_0,Points_1,Points_2,Points_Magnitude,u_0,u_1,u_2,u_Magnitude
0,0.42,0,0,0.42,0,0,0,0
1,0.42,1.9974e-12,0,0.42,2.00754e-16,2.88657e-15,0,2.89354e-15
2,0.42,0.0170677,0,0.420347,7.30386e-07,2.45378e-05,0,2.45487e-05
3,0.42,0.0354198,0,0.421491,1.74797e-06,5.21243e-05,0,5.21536e-05
4,0.42,0.0363206,0,0.421568,1.83648e-06,5.34769e-05,0,5.35085e-05
5,0.42,0.0367729,0,0.421607,1.90485e-06,5.41816e-05,0,5.42151e-05
6,0.42,0.0411943,0,0.422015,2.29634e-06,6.11452e-05,0,6.11883e-05
7,0.42,0.0550203,0,0.423589,3.45689e-06,8.28669e-05,0,8.29389e-05
8,0.42,0.0569804,0,0.423848,3.5666e-06,8.60395e-05,0,8.61134e-05
9,0.42,0.0725956,0,0.426228,5.65566e-06,0.000111494,0,0.000111637
10,0.42,0.0820987,0,0.427949,6.76816e-06,0.000127509,0,0.000127689
11,0.42,0.0901964,0,0.429576,8.30027e-06,0.0001412,0,0.000141443
12,0.42,0.107369,0,0.433507,1.18149e-05,0.000171728,0,0.000172134
13,0.42,0.107814,0,0.433617,1.19385e-05,0.000172536,0,0.000172949
14,0.42,0.108843,0,0.433874,1.22484e-05,0.000174716,0,0.000175145
15,0.42,0.125477,0,0.438343,1.68088e-05,0.000209561,0,0.000210234
16,0.42,0.132668,0,0.440455,1.90492e-05,0.000226988,0,0.000227786
17,0.42,0.143057,0,0.443695,2.28478e-05,0.000252324,0,0.000253356
18,0.42,0.157911,0,0.448705,2.86854e-05,0.000293597,0,0.000294995
19,0.42,0.160671,0,0.449684,2.98239e-05,0.000301179,0,0.000302652
20,0.42,0.166918,0,0.451953,3.23734e-05,0.000320358,0,0.00032199
21,0.42,0.178249,0,0.45626,3.68321e-05,0.000355014,0,0.000356919
22,0.42,0.183231,0,0.458229,3.86909e-05,0.000371942,0,0.000373949
23,0.42,0.195887,0,0.463435,4.28376e-05,0.000413347,0,0.000415561
24,0.42,0.208628,0,0.468962,4.59477e-05,0.000458876,0,0.00046117
25,0.42,0.213537,0,0.471167,4.67084e-05,0.000475459,0,0.000477748
26,0.42,0.224725,0,0.476342,4.65818e-05,0.000516181,0,0.000518278
27,0.42,0.231178,0,0.47942,4.65519e-05,0.00053992,0,0.000541923
28,0.42,0.234008,0,0.480791,4.5827e-05,0.000551314,0,0.000553215
29,0.42,0.248814,0,0.488168,4.0204e-05,0.000606131,0,0.000607463
30,0.42,0.259388,0,0.493642,3.20745e-05,0.000649687,0,0.000650478
31,0.42,0.266441,0,0.497384,2.59189e-05,0.000676079,0,0.000676575
32,0.42,0.282498,0,0.506167,2.93545e-06,0.000745908,0,0.000745914
33,0.42,0.28406,0,0.50704,6.77469e-07,0.00075294,0,0.00075294
34,0.42,0.284746,0,0.507425,-9.30264e-07,0.000756835,0,0.000756835
35,0.42,0.301669,0,0.517111,-3.99965e-05,0.000843394,0,0.000844342
36,0.42,0.310068,0,0.522056,-6.98165e-05,0.000900272,0,0.000902975
37,0.42,0.319274,0,0.527576,-0.000100928,0.000956936,0,0.000962244
38,0.42,0.335371,0,0.53747,-0.000181413,0.00109089,0,0.00110587
39,0.42,0.336864,0,0.538403,-0.000188414,0.00110231,0,0.0011183
40,0.42,0.340255,0,0.540531,-0.000211139,0.00113719,0,0.00115663
41,0.42,0.354448,0,0.549576,-0.000309259,0.00128901,0,0.00132559
42,0.42,0.360724,0,0.553644,-0.000368374,0.0013753,0,0.00142378
43,0.42,0.372021,0,0.56107,-0.000468759,0.00152176,0,0.00159232
44,0.42,0.386074,0,0.570485,-0.000631815,0.00174854,0,0.00185919
45,0.42,0.389569,0,0.572856,-0.000670301,0.00180221,0,0.00192282
46,0.42,0.397491,0,0.578273,-0.00077999,0.00194897,0,0.00209925
47,0.42,0.407135,0,0.584944,-0.000916143,0.00213152,0,0.00232007
48,0.42,0.411383,0,0.587908,-0.000988007,0.00222432,0,0.00243388
49,0.42,0.424736,0,0.597328,-0.00120633,0.00250712,0,0.00278224
50,0.42,0.436683,0,0.605881,-0.00143338,0.00279167,0,0.00313815
51,0.42,0.442356,0,0.609982,-0.00153832,0.00292346,0,0.00330349
52,0.42,0.45553,0,0.619602,-0.00181339,0.00325911,0,0.00372963
53,0.42,0.459908,0,0.622828,-0.00190548,0.00337168,0,0.00387287
54,0.42,0.461651,0,0.624116,-0.00194518,0.00341899,0,0.0039336
55,0.42,0.478999,0,0.637056,-0.0023364,0.0038849,0,0.00453335
56,0.42,0.5,0,0.652993,-0.00283875,0.00446953,0,0.00529482
57,0.42,0.484418,0,0.64114,-0.00246563,0.00403624,0,0.00472976
58,0.42,0.51586,0,0.665216,-0.00322431,0.00490926,0,0.00587342
59,0.42,0.517864,0,0.666771,-0.00327325,0.00496401,0,0.00594605
60,0.42,0.529945,0,0.676197,-0.00356617,0.00529308,0,0.00638234
61,0.42,0.53742,0,0.682071,-0.00374133,0.00548741,0,0.00664148
62,0.42,0.546674,0,0.689386,-0.00396129,0.00573164,0,0.00696732
63,0.42,0.562379,0,0.701905,-0.00431215,0.0061157,0,0.00748308
64,0.42,0.564185,0,0.703353,-0.00435339,0.00616072,0,0.00754364
65,0.42,0.568283,0,0.706644,-0.0044387,0.00625265,0,0.00766797
66,0.42,0.581786,0,0.717548,-0.00471617,0.00655299,0,0.00807365
67,0.42,0.587735,0,0.72238,-0.00482326,0.006667,0,0.00822877
68,0.42,0.599395,0,0.731897,-0.00504019,0.00689831,0,0.00854343
69,0.42,0.613088,0,0.743154,-0.00525604,0.00712389,0,0.00885301
70,0.42,0.616999,0,0.746383,-0.00532006,0.0071911,0,0.00894511
71,0.42,0.625887,0,0.753747,-0.00543893,0.00731262,0,0.00911353
72,0.42,0.634603,0,0.761,-0.00555315,0.00742939,0,0.00927542
73,0.42,0.638435,0,0.764199,-0.0055926,0.00746761,0,0.00932965
74,0.42,0.652184,0,0.775722,-0.00574045,0.00761402,0,0.00953552
75,0.42,0.663712,0,0.785438,-0.00583578,0.00770155,0,0.00966283
76,0.42,0.669719,0,0.790521,-0.00588743,0.00775071,0,0.0097332
