Point ID,Points_0,Points_1,Points_2,Points_Magnitude,u_0,u_1,u_2,u_Magnitude
0,0.42,0,0,0.42,0,0,0,0
1,0.42,1.9974e-12,0,0.42,4.99093e-16,3.31116e-15,0,3.34856e-15
2,0.42,0.0354198,0,0.421491,7.74732e-06,7.11949e-05,0,7.16152e-05
3,0.42,0.0363206,0,0.421568,8.14337e-06,7.33847e-05,0,7.38351e-05
4,0.42,0.0170677,0,0.420347,2.42769e-06,2.81111e-05,0,2.82157e-05
5,0.42,0.0367729,0,0.421607,8.60702e-06,7.51072e-05,0,7.55988e-05
6,0.42,0.0411943,0,0.422015,1.2068e-05,9.41107e-05,0,9.48813e-05
7,0.42,0.0550203,0,0.423589,2.2394e-05,0.000152782,0,0.000154414
8,0.42,0.0820987,0,0.427949,5.9567e-05,0.000359328,0,0.000364232
9,0.42,0.0901964,0,0.429576,7.63479e-05,0.000437212,0,0.000443828
10,0.42,0.107369,0,0.433507,0.000107662,0.000649366,0,0.00065823
11,0.42,0.107814,0,0.433617,0.000108831,0.000654983,0,0.000663963
12,0.42,0.108843,0,0.433874,0.00011118,0.000670754,0,0.000679906
13,0.42,0.0725956,0,0.426228,4.73235e-05,0.000271754,0,0.000275844
14,0.42,0.0569804,0,0.423848,2.38179e-05,0.000164917,0,0.000166628
15,0.42,0.125477,0,0.438343,0.000144769,0.000925748,0,0.000936999
16,0.42,0.132668,0,0.440455,0.000156622,0.00105607,0,0.00106762
17,0.42,0.143057,0,0.443695,0.000179662,0.00124192,0,0.00125485
18,0.42,0.157911,0,0.448705,0.000205661,0.00154614,0,0.00155975
19,0.42,0.160671,0,0.449684,0.000211318,0.00160096,0,0.00161485
20,0.42,0.166918,0,0.451953,0.00022009,0.00173982,0,0.00175368
21,0.42,0.178249,0,0.45626,0.000233827,0.00199382,0,0.00200748
22,0.42,0.183231,0,0.458229,0.000236304,0.00211787,0,0.00213102
23,0.42,0.195887,0,0.463435,0.000241544,0.00241789,0,0.00242993
24,0.42,0.208628,0,0.468962,0.000233709,0.00275086,0,0.00276077
25,0.42,0.213537,0,0.471167,0.000229231,0.0028716,0,0.00288074
26,0.42,0.224725,0,0.476342,0.000203226,0.00317452,0,0.00318102
27,0.42,0.231178,0,0.47942,0.000187724,0.00335129,0,0.00335654
28,0.42,0.234008,0,0.480791,0.000175852,0.00343714,0,0.00344163
29,0.42,0.248814,0,0.488168,0.000106937,0.0038564,0,0.00385788
30,0.42,0.259388,0,0.493642,3.26709e-05,0.0041901,0,0.00419022
31,0.42,0.266441,0,0.497384,-1.99184e-05,0.00439685,0,0.0043969
32,0.42,0.282498,0,0.506167,-0.000187949,0.00492487,0,0.00492846
33,0.42,0.28406,0,0.50704,-0.000204377,0.00497698,0,0.00498117
34,0.42,0.284746,0,0.507425,-0.00021422,0.00500286,0,0.00500745
35,0.42,0.301669,0,0.517111,-0.000461156,0.00559565,0,0.00561462
36,0.42,0.310068,0,0.522056,-0.00062275,0.0059288,0,0.00596142
37,0.42,0.319274,0,0.527576,-0.000799893,0.00626868,0,0.00631951
38,0.42,0.335371,0,0.53747,-0.00119725,0.0069424,0,0.00704488
39,0.42,0.336864,0,0.538403,-0.00123366,0.00700092,0,0.00710878
40,0.42,0.340255,0,0.540531,-0.00133722,0.00715173,0,0.00727567
41,0.42,0.354448,0,0.549576,-0.00177474,0.00779537,0,0.00799484
42,0.42,0.360724,0,0.553644,-0.00201219,0.00811577,0,0.0083615
43,0.42,0.372021,0,0.56107,-0.00243015,0.00866435,0,0.0089987
44,0.42,0.386074,0,0.570485,-0.00305274,0.0094299,0,0.00991173
45,0.42,0.389569,0,0.572856,-0.00320359,0.00961295,0,0.0101327
46,0.42,0.397491,0,0.578273,-0.00360391,0.0100757,0,0.0107008
47,0.42,0.407135,0,0.584944,-0.00409573,0.010647,0,0.0114077
48,0.42,0.411383,0,0.587908,-0.00434294,0.0109224,0,0.0117542
49,0.42,0.424736,0,0.597328,-0.00510311,0.0117679,0,0.0128267
50,0.42,0.436683,0,0.605881,-0.00586344,0.0125857,0,0.0138845
51,0.42,0.442356,0,0.609982,-0.00621767,0.0129674,0,0.014381
52,0.42,0.45553,0,0.619602,-0.00711899,0.0139118,0,0.0156275
53,0.42,0.459908,0,0.622828,-0.00741981,0.0142279,0,0.0160464
54,0.42,0.461651,0,0.624116,-0.0075474,0.0143585,0,0.0162213
55,0.42,0.478999,0,0.637056,-0.0088066,0.0156519,0,0.0179593
56,0.42,0.484418,0,0.64114,-0.00921786,0.016067,0,0.0185234
57,0.42,0.5,0,0.652993,-0.0104051,0.0172579,0,0.0201519
58,0.42,0.51586,0,0.665216,-0.01163,0.018469,0,0.0218256
59,0.42,0.517864,0,0.666771,-0.0117855,0.0186204,0,0.0220368
60,0.42,0.529945,0,0.676197,-0.0127187,0.0195323,0,0.0233083
61,0.42,0.53742,0,0.682071,-0.0132842,0.0200764,0,0.0240735
62,0.42,0.546674,0,0.689386,-0.01399,0.020762,0,0.0250356
63,0.42,0.562379,0,0.701905,-0.0151394,0.0218608,0,0.0265913
64,0.42,0.564185,0,0.703353,-0.0152734,0.0219897,0,0.0267736
65,0.42,0.568283,0,0.706644,-0.0155588,0.0222609,0,0.0271592
66,0.42,0.581786,0,0.717548,-0.0164921,0.0231508,0,0.0284244
67,0.42,0.587735,0,0.72238,-0.016869,0.0235053,0,0.028932
68,0.42,0.599395,0,0.731897,-0.0176215,0.0242209,0,0.0299528
69,0.42,0.613088,0,0.743154,-0.0184149,0.0249678,0,0.0310241
70,0.42,0.616999,0,0.746383,-0.0186461,0.0251883,0,0.0313389
71,0.42,0.625887,0,0.753747,-0.019108,0.0256269,0,0.0319664
72,0.42,0.634603,0,0.761,-0.0195573,0.0260544,0,0.0325779
