Point ID,Points_0,Points_1,Points_2,Points_Magnitude,u_0,u_1,u_2,u_Magnitude
0,0.42,0,0,0.42,0,0,0,0
1,0.42,1.9974e-12,0,0.42,4.58124e-16,3.35382e-15,0,3.38496e-15
2,0.42,0.0170677,0,0.420347,2.42822e-06,2.84652e-05,0,2.85686e-05
3,0.42,0.0354198,0,0.421491,7.24084e-06,6.26523e-05,0,6.30693e-05
4,0.42,0.0363206,0,0.421568,7.58187e-06,6.4399e-05,0,6.48438e-05
5,0.42,0.0367729,0,0.421607,8.00861e-06,6.58722e-05,0,6.63572e-05
6,0.42,0.0411943,0,0.422015,1.15745e-05,8.27227e-05,0,8.35286e-05
7,0.42,0.0550203,0,0.423589,2.21993e-05,0.000134581,0,0.0001364
8,0.42,0.0569804,0,0.423848,2.39359e-05,0.00014656,0,0.000148501
9,0.42,0.0725956,0,0.426228,5.14587e-05,0.000254985,0,0.000260126
10,0.42,0.0820987,0,0.427949,6.59318e-05,0.000349487,0,0.000355652
11,0.42,0.0901964,0,0.429576,8.54038e-05,0.00043361,0,0.00044194
12,0.42,0.107369,0,0.433507,0.000120052,0.000671279,0,0.00068193
13,0.42,0.107814,0,0.433617,0.000121352,0.000677533,0,0.000688315
14,0.42,0.108843,0,0.433874,0.000123773,0.000695331,0,0.000706261
15,0.42,0.125477,0,0.438343,0.000157841,0.000984533,0,0.000997106
16,0.42,0.132668,0,0.440455,0.000168265,0.00113286,0,0.00114529
17,0.42,0.143057,0,0.443695,0.000189626,0.00134253,0,0.00135586
18,0.42,0.157911,0,0.448705,0.000209642,0.00168536,0,0.00169835
19,0.42,0.160671,0,0.449684,0.000214202,0.00174668,0,0.00175976
20,0.42,0.166918,0,0.451953,0.000218893,0.00190177,0,0.00191433
21,0.42,0.178249,0,0.45626,0.000224842,0.00218678,0,0.0021983
22,0.42,0.183231,0,0.458229,0.000222544,0.00232574,0,0.00233636
23,0.42,0.195887,0,0.463435,0.000215585,0.00266021,0,0.00266893
24,0.42,0.208628,0,0.468962,0.000191739,0.0030312,0,0.00303726
