E,nu,Y,S,D,E,nu,Y,S,D
133.15,0.231239728286025,297.777643694175,810.635666267804,2.87741680211996,200.191,0.292,331.126,1150,2.125
237.61,0.327420357326843,300.164117196147,1128.45476612722,2.38483866016478,200.071,0.297,330.403,1048.01,2.366
185.77,0.300305836220578,266.80704791114,1091.76713374547,2.86532314638703,199.962,0.301,329.788,976.781,2.57
209.26,0.3132991176838,379.250835496905,1098.5419399168,2.36495201463308,200.104,0.296,330.6,1073.66,2.3
168.87,0.276005257229638,327.756493617464,870.093887599923,2.20347913681893,199.999,0.3,329.961,995.678,2.513
199.98,0.293566453463172,316.354112349933,876.713266047926,2.7262540632881,199.839,0.306,329.127,912.115,2.788
237.1,0.327223995143551,313.249709077203,954.715920151405,2.28807787263581,200.01,0.299,330.06,1006.85,2.48
136.07,0.334688657316535,309.618415540347,889.053648965005,2.50927910303192,199.898,0.304,329.442,941.577,2.685
234.72,0.325886789633352,308.992969588225,1144.55098176538,2.61572359042513,199.92,0.303,329.575,954.663,2.641
151.13,0.258322587872314,303.56222242131,910.816912899802,2.63161694505077,199.911,0.303,329.508,948.027,2.663
